train_sharpe,train_annual_return,train_crisis_return,z,th,sw,sth,ddw,ddt,cw,val_sharpe,val_annual_return,val_crisis_return,selection_score
0.4406431639062138,0.059724221155339485,-0.00883859339515547,10,2.0,60,-0.03,50,-0.03,0.4,0.729705701628365,0.1088299850032004,-0.5961122546692728,0.368377529475676
0.4438366032799123,0.0602811303524442,-0.007376887310176827,10,2.0,60,-0.03,50,-0.05,0.2,0.7350556031921476,0.1098166130213396,-0.5990100617902689,0.3710318533018535
0.4426878707283736,0.060079023488621264,-0.007907512541257433,10,2.0,60,-0.03,50,-0.05,0.3,0.732075343792375,0.10926714111069202,-0.5979373242152641,0.3703410024623733
0.44063115679649145,0.05972222509537839,-0.008843829912682621,10,2.0,60,-0.03,50,-0.05,0.4,0.729705701628366,0.1088299850032004,-0.5961122546692728,0.3683625205885228
0.4438014183660965,0.060279830243824106,-0.00786664710826046,10,2.0,60,-0.03,100,-0.03,0.2,0.7348191095240519,0.10976557138328524,-0.5986100106001612,0.37104699557660764
0.4421652491457585,0.05999470621526837,-0.008616726581838874,10,2.0,60,-0.03,100,-0.03,0.3,0.731938319132098,0.10923363439358824,-0.5976380299470789,0.36972198164917364
0.4404463419681192,0.05969527490610127,-0.009404023316726406,10,2.0,60,-0.03,100,-0.03,0.4,0.7294391468335194,0.10877342643618992,-0.5959230343522257,0.36819814075176915
0.4438014183660965,0.060279830243824106,-0.00786664710826046,10,2.0,60,-0.03,100,-0.05,0.2,0.7348191095240519,0.10976557138328524,-0.5986100106001612,0.37104699557660764
0.4421652491457585,0.05999470621526837,-0.008616726581838874,10,2.0,60,-0.03,100,-0.05,0.3,0.731938319132098,0.10923363439358824,-0.5976380299470789,0.36972198164917364
0.4404463419681192,0.05969527490610127,-0.009404023316726406,10,2.0,60,-0.03,100,-0.05,0.4,0.7294391468335194,0.10877342643618992,-0.5959230343522257,0.36819814075176915
0.4436343070075512,0.06024652060346414,-0.007467767076263843,10,2.0,60,-0.05,50,-0.03,0.2,0.7395381472209628,0.11066268465021967,-0.6019626665568343,0.3696583469541983
0.44224552283679675,0.06000330100158213,-0.008106272540778559,10,2.0,60,-0.05,50,-0.03,0.3,0.7394534971750778,0.11064772229852671,-0.6022439098194929,0.3679435292522265
0.44019944637883796,0.05964828189688842,-0.00903780194885151,10,2.0,60,-0.05,50,-0.03,0.4,0.7393580088311913,0.11063084550168512,-0.6025485232265727,0.3654098057657496
0.44366484508743687,0.06025175720180931,-0.007454016935084629,10,2.0,60,-0.05,50,-0.05,0.2,0.7395381472209608,0.11066268465021945,-0.6019626665568324,0.3696965195540559
0.4422942512988875,0.06001165449047319,-0.008084347161845362,10,2.0,60,-0.05,50,-0.05,0.3,0.7394534971750789,0.11064772229852693,-0.6022439098194945,0.36800443982983966
0.44026845148200006,0.05966010775071262,-0.009006781332412173,10,2.0,60,-0.05,50,-0.05,0.4,0.7393580088311923,0.11063084550168578,-0.6025485232265727,0.365496062144702
0.4430601489783234,0.06015244073136028,-0.008199709627874197,10,2.0,60,-0.05,100,-0.03,0.2,0.7395044355174801,0.11064841125184155,-0.601337391080547,0.3689490773435342
0.4412079899454587,0.05983036020846133,-0.009046391245675411,10,2.0,60,-0.05,100,-0.03,0.3,0.7394162029630041,0.11063281948891612,-0.601620666417261,0.3666559366910723
0.43924452640081063,0.05948897071012693,-0.009943287825062375,10,2.0,60,-0.05,100,-0.03,0.4,0.7393170586898973,0.1106153009478259,-0.6019272061504544,0.36422639332853896
